date,time,currency,impact,index_name,actual, actual_stu,forecast,previous
 ,7:00pm,EUR,low,Final GDP q/q,0.5%,0,0.5%,0.5%
 ,9:00pm,GBP,high,MPC Rate Statement,,0,,
 ,,GBP,high,Official Bank Rate,5.25%,1,5.00%,5.00%
 ,9:45pm,EUR,medium,Main Refinancing Rate,3.50%,0,3.50%,3.50%
 ,10:00pm,USD,low,FOMC Member Geithner Speaks,,0,,
 ,10:30pm,EUR,high,ECB Press Conference,,0,,
 ,,USD,low,Unemployment Claims,299K,1,320K,329K
 FriJan 12 ,12:30am,GBP,low,CB Leading Index m/m,0.1%,0,,0.0%
 ,,USD,low,Natural Gas Storage,-49B,0,-45B,-47B
 ,6:45am,NZD,medium,Building Consents m/m,-12.0%,0,,-3.6%
 ,8:50am,JPY,low,Bank Lending y/y,1.7%,0,,1.2%
 ,,JPY,low,M2 Money Stock y/y,0.8%,0,0.8%,0.7%
 ,9:01am,GBP,low,NIESR GDP Estimate,0.7%,0,,0.6%
 ,2:00pm,JPY,low,Economy Watchers Sentiment,48.9,-1,49.8,48.9
 ,4:45pm,EUR,low,French Final CPI m/m,0.2%,1,0.1%,0.1%
 ,10:30pm,USD,high,Core Retail Sales m/m,1.0%,1,0.5%,1.1%
 ,,USD,high,Retail Sales m/m,0.9%,1,0.6%,1.0%
 ,,USD,medium,Import Prices m/m,1.1%,1,0.5%,0.2%
 SatJan 13 ,12:00am,USD,medium,Business Inventories m/m,0.4%,0,0.4%,0.2%
 ,4:00am,USD,medium,Federal Budget Balance,44.5B,1,25.6B,-75.6B
 MonJan 15 ,8:30am,AUD,low,MI Inflation Gauge m/m,0.3%,0,,0.2%
 ,8:50am,JPY,medium,Core Machinery Orders m/m,3.8%,-1,4.2%,2.8%
 ,9:30am,AUD,medium,Home Loans m/m,-0.6%,-1,0.0%,-0.2%
 ,11:00am,CNY,medium,New Loans,214B,0,,194B
 ,,CNY,low,M2 Money Supply y/y,16.9%,0,16.7%,16.8%
 ,6:00pm,EUR,low,Italian Industrial Production m/m,-0.3%,-1,0.3%,0.6%
 ,6:15pm,CNY,low,Foreign Direct Investment ytd/y,4.2%,0,,2.1%
 ,6:30pm,EUR,low,Sentix Investor Confidence,29.5,-1,30.2,29.1
 ,,GBP,high,PPI Input m/m,0.1%,0,0.2%,0.1%
 ,,GBP,low,ONS HPI y/y,8.9%,-1,9.1%,8.6%
 ,,GBP,low,PPI Output m/m,0.2%,1,0.0%,0.0%
 ,7:00pm,EUR,medium,Industrial Production m/m,0.2%,-1,0.6%,-0.2%
 ,All Day,USD,holiday,Bank Holiday,,0,,
 ,10:30pm,CAD,low,New Motor Vehicle Sales m/m,3.0%,0,3.0%,-1.9%
 TueJan 16 ,6:00am,NZD,high,NZIER Business Confidence,3,0,,-19
 ,8:50am,JPY,low,PPI y/y,2.5%,0,2.5%,2.7%
 ,9:01am,GBP,medium,RICS House Price Balance,37%,-1,46%,47%
 ,1:30pm,JPY,low,Revised Industrial Production m/m,0.8%,1,0.7%,0.7%
 ,6:30pm,GBP,high,CPI y/y,3.0%,1,2.8%,2.7%
 ,,GBP,medium,Core CPI y/y,1.8%,1,1.7%,1.6%
 ,,GBP,low,RPI y/y,4.4%,1,4.2%,3.9%
 ,7:00pm,EUR,medium,German ZEW Economic Sentiment,-3.6,1,-12.0,-19.0
 ,,EUR,low,ZEW Economic Sentiment,-1.8,1,-5.0,-3.0
 ,9:00pm,GBP,medium,MPC Member Sentance Speaks,,0,,
 ,10:30pm,USD,medium,Empire State Manufacturing Index,9.1,-1,18.0,23.1
 ,11:00pm,CAD,high,BOC Rate Statement,,0,,
 ,,CAD,high,Overnight Rate,4.25%,0,4.25%,4.25%
 WedJan 17 ,6:45am,NZD,high,CPI q/q,-0.2%,-1,-0.1%,0.7%
 ,,NZD,low,FPI m/m,-0.5%,0,,0.1%
 ,8:30am,AUD,low,MI Leading Index m/m,0.5%,0,,0.5%
 ,8:50am,JPY,low,Current Account,1.95T,-1,2.10T,2.02T
 ,2:00pm,JPY,low,Consumer Confidence,45.9,-1,48.0,48.7
 ,4:00pm,EUR,low,German Final CPI m/m,0.8%,0,0.8%,0.8%
 ,6:30pm,GBP,high,Claimant Count Change,-5.5K,0,-5.0K,-7.9K
 ,,GBP,medium,Average Earnings Index 3m/y,4.1%,-1,4.2%,4.1%
 ,,GBP,low,Unemployment Rate,5.5%,0,5.5%,5.5%
 ,7:00pm,EUR,low,Final CPI y/y,1.9%,0,1.9%,1.9%
 ,,EUR,low,Final Core CPI y/y,1.5%,0,1.5%,1.5%
 ,,EUR,low,Trade Balance,4.5B,1,2.5B,2.4B
 ,10:30pm,USD,high,PPI m/m,0.9%,1,0.6%,2.0%
 ,,USD,medium,Core PPI m/m,0.2%,1,0.1%,1.3%
 ,11:00pm,USD,high,TIC Long-Term Purchases,68.4B,-1,82.5B,89.3B
 ,11:15pm,USD,medium,Capacity Utilization Rate,81.8%,0,81.8%,81.6%
 ,,USD,medium,Industrial Production m/m,0.4%,1,0.1%,-0.1%
 ThuJan 18 ,3:00am,USD,medium,FOMC Member Mishkin Speaks,,0,,
 ,,USD,low,NAHB Housing Market Index,35,1,33,33
 ,4:00am,USD,medium,Beige Book,,0,,
 ,8:50am,JPY,medium,Tertiary Industry Activity m/m,-0.3%,-1,0.0%,2.1%
 ,9:30am,AUD,low,RBA Bulletin,,0,,
 ,12:45pm,JPY,low,30-y Bond Auction,2.38|3.3,0,,2.52|3.0
 ,1:00pm,JPY,high,Overnight Call Rate,0.25%,-1,0.50%,0.25%
 ,3:00pm,JPY,low,BOJ Monthly Report,,0,,
 ,3:30pm,JPY,medium,BOJ Press Conference,,0,,
 ,5:15pm,CHF,medium,Retail Sales y/y,3.3%,1,1.6%,0.6%
 ,6:00pm,EUR,low,Italian Trade Balance,-0.92B,1,-1.12B,-0.86B
 ,6:37pm,EUR,low,Spanish 10-y Bond Auction,4.10|2.3,0,,3.99|1.8
 ,7:00pm,CHF,medium,Credit Suisse Economic Expectations,-10.8,0,,-23.7
 ,,EUR,medium,ECB Monthly Bulletin,,0,,
 ,8:00pm,GBP,medium,MPC Member Besley Speaks,,0,,
 ,10:30pm,CAD,medium,Foreign Securities Purchases,11.00B,1,-2.48B,-4.18B
 ,,CAD,medium,Manufacturing Sales m/m,2.3%,1,2.0%,0.2%
 ,,USD,high,Core CPI m/m,0.2%,0,0.2%,0.0%
 ,,USD,medium,Building Permits,1.60M,1,1.53M,1.51M
 ,,USD,medium,CPI m/m,0.5%,0,0.5%,0.0%
 ,,USD,medium,Housing Starts,1.64M,1,1.57M,1.57M
 ,,USD,low,Unemployment Claims,290K,1,315K,298K
 FriJan 19 ,12:00am,USD,high,Fed Chairman Bernanke Testifies,,0,,
 ,12:30am,CAD,high,BOC Monetary Policy Report,,0,,
 ,,USD,low,Crude Oil Inventories,6.8M,0,0.1M,-5.0M
 ,,USD,low,Natural Gas Storage,-89B,0,-79B,-49B
 ,1:15am,CAD,high,BOC Press Conference,,0,,
 ,2:00am,USD,medium,Philly Fed Manufacturing Index,8.3,1,3.0,-4.3
 ,6:45am,NZD,high,Core Retail Sales m/m,-0.1%,-1,0.1%,0.1%
 ,,NZD,high,Retail Sales m/m,-0.2%,-1,0.0%,0.3%
 ,9:30am,AUD,low,Import Prices q/q,-3.2%,-1,-1.5%,-0.3%
 ,6:30pm,GBP,high,Retail Sales m/m,1.1%,1,0.5%,0.2%
 ,,GBP,low,M4 Money Supply m/m,0.9%,1,0.6%,0.5%
 ,,GBP,low,Public Sector Net Borrowing,7.2B,0,7.4B,11.2B
 ,10:30pm,CAD,medium,Wholesale Sales m/m,0.1%,-1,0.5%,-0.4%
 SatJan 20 ,12:00am,USD,high,Prelim UoM Consumer Sentiment,98.0,1,92.5,91.7
 ,,USD,low,Prelim UoM Inflation Expectations,3.0%,0,,2.9%
 MonJan 22 ,9:01am,GBP,low,Rightmove HPI m/m,0.5%,0,,-0.3%
 ,9:30am,AUD,high,PPI q/q,0.2%,0,0.2%,1.0%
 ,,AUD,low,New Motor Vehicle Sales m/m,0.8%,0,,-0.7%
 ,4:00pm,EUR,low,German PPI m/m,0.0%,-1,0.1%,0.0%
 ,5:15pm,CHF,medium,PPI m/m,0.0%,-1,0.1%,0.0%
 ,8:00pm,EUR,medium,German Buba Monthly Report,,0,,
 TueJan 23 ,3:45pm,EUR,medium,French Consumer Spending m/m,1.3%,1,0.3%,0.9%
 ,7:00pm,EUR,medium,Industrial New Orders m/m,1.4%,1,1.0%,-0.5%
 ,8:00pm,GBP,medium,CBI Industrial Order Expectations,-9,-1,-5,-5
 ,9:00pm,CAD,high,Core CPI m/m,-0.2%,-1,0.0%,0.3%
 ,,CAD,medium,CPI m/m,0.2%,0,0.2%,0.2%
 ,10:30pm,CAD,high,Core Retail Sales m/m,0.1%,-1,0.5%,-0.8%
 ,,CAD,medium,Retail Sales m/m,0.2%,-1,0.9%,-0.8%
 ,,CAD,low,Leading Index m/m,0.3%,-1,0.4%,0.5%
 WedJan 24 ,12:00am,USD,low,CB Leading Index m/m,0.3%,1,0.2%,0.0%
 ,,USD,low,Richmond Manufacturing Index,-11,-1,-8,-6
 ,4:00am,GBP,medium,BOE Gov King Speaks,,0,,
 ,8:00am,AUD,low,CB Leading Index m/m,0.2%,0,,0.3%
 ,8:50am,JPY,medium,Monetary Policy Meeting Minutes,,0,,
 ,,JPY,low,All Industries Activity m/m,-0.2%,-1,0.0%,1.7%
 ,9:30am,AUD,high,CPI q/q,-0.1%,-1,0.2%,0.9%
 ,,AUD,medium,Trimmed Mean CPI q/q,0.5%,-1,0.7%,0.7%
 ,10:00am,NZD,low,Credit Card Spending y/y,10.1%,0,,7.8%
 ,Day 1,All,medium,WEF Annual Meetings,,0,,
 ,6:30pm,GBP,high,MPC Official Bank Rate Votes,5-0-4,-1,8-0-1,0-0-9
 ,,GBP,high,Prelim GDP q/q,0.8%,1,0.7%,0.7%
 ,,GBP,low,Index of Services 3m/3m,1.0%,1,0.9%,1.0%
 ,7:12pm,EUR,low,German 30-y Bond Auction,4.11|1.2,0,,4.23|1.5
 ,11:00pm,EUR,medium,Belgian NBB Business Climate,2.1,-1,2.6,2.5
 ThuJan 25 ,12:30am,USD,low,Crude Oil Inventories,0.7M,0,1.3M,6.8M
 ,5:00am,NZD,high,Official Cash Rate,7.25%,0,7.25%,7.25%
 ,,NZD,high,RBNZ Rate Statement,,0,,
 ,8:00am,NZD,low,Business NZ Manufacturing Index,54.2,0,,55.1
 ,8:50am,JPY,low,Trade Balance,0.66T,-1,0.87T,0.98T
 ,11:00am,CNY,high,GDP q/y,10.4%,1,10.2%,10.6%
 ,,CNY,high,Industrial Production y/y,14.7%,-1,15.0%,14.9%
 ,,CNY,medium,CPI y/y,2.8%,1,1.9%,1.9%
 ,,CNY,medium,Fixed Asset Investment ytd/y,24.5%,-1,26.3%,26.6%
 ,,CNY,medium,NBS Press Conference,,0,,
 ,,CNY,medium,PPI y/y,3.1%,1,2.9%,2.8%
 ,,CNY,low,Retail Sales y/y,14.6%,1,14.3%,14.1%
 ,4:00pm,EUR,low,German GfK Consumer Climate,4.8,-1,8.6,8.5
 ,6:00pm,EUR,high,German Ifo Business Climate,107.9,-1,108.9,108.7
 ,,EUR,low,Current Account,-2.0B,-1,0.7B,1.8B
 ,Day 2,All,medium,WEF Annual Meetings,,0,,
 ,7:00pm,EUR,low,Italian Retail Sales m/m,0.3%,1,0.1%,-0.1%
 ,10:30pm,USD,low,Unemployment Claims,325K,-1,310K,289K
 FriJan 26 ,12:00am,USD,high,Existing Home Sales,6.22M,-1,6.25M,6.27M
 ,12:30am,USD,low,Natural Gas Storage,-179B,0,-174B,-89B
 ,All Day,AUD,holiday,Bank Holiday,,0,,
 ,8:00am,NZD,medium,RBNZ Gov Bollard Speaks,,0,,
 ,8:30am,JPY,medium,Tokyo Core CPI y/y,0.2%,0,0.2%,0.2%
 ,,JPY,low,National Core CPI y/y,0.1%,-1,0.2%,0.2%
 ,8:50am,JPY,low,SPPI y/y,0.2%,1,-0.1%,-0.1%
 ,4:00pm,EUR,low,German Import Prices m/m,-0.3%,-1,0.1%,-0.4%
 ,5:00pm,EUR,low,Spanish Unemployment Rate,8.3%,0,8.2%,8.2%
 ,6:00pm,CHF,medium,UBS Consumption Indicator,1.90,0,,1.89
 ,,EUR,medium,ECB President Trichet Speaks,,0,,
 ,,EUR,low,M3 Money Supply y/y,9.7%,1,9.2%,9.3%
 ,,EUR,low,Private Loans y/y,10.7%,-1,10.9%,11.2%
 ,Day 3,All,medium,WEF Annual Meetings,,0,,
 ,6:30pm,GBP,medium,High Street Lending,45.5K,0,,78.7K
 ,10:30pm,USD,high,Core Durable Goods Orders m/m,2.3%,1,0.5%,-1.0%
 ,,USD,medium,Durable Goods Orders m/m,3.1%,0,3.2%,2.2%
 SatJan 27 ,12:00am,USD,high,New Home Sales,1120K,1,1050K,1069K
 ,Day 4,All,medium,WEF Annual Meetings,,0,,
 SunJan 28 ,Day 5,All,medium,WEF Annual Meetings,,0,,
 MonJan 29 ,8:50am,JPY,medium,Retail Sales y/y,-0.3%,1,-0.6%,-0.2%
 ,9:30am,AUD,medium,NAB Quarterly Business Confidence,4,0,,2
 ,All Day,EUR,low,Eurogroup Meetings,,0,,
 ,8:00pm,GBP,medium,CBI Realized Sales,30,1,18,25
 TueJan 30 ,6:45am,NZD,medium,Building Consents m/m,-4.9%,0,,-11.6%
 ,8:30am,JPY,low,Household Spending y/y,-1.9%,-1,-1.2%,-0.7%
 ,,JPY,low,Unemployment Rate,4.1%,-1,4.0%,4.0%
 ,8:50am,JPY,medium,Prelim Industrial Production m/m,0.7%,1,0.4%,0.8%
 ,9:30am,AUD,low,NAB Business Confidence,4,0,,6
 ,4:00pm,GBP,medium,Nationwide HPI m/m,0.3%,-1,0.8%,1.2%
 ,All Day,EUR,medium,German Prelim CPI m/m,-0.2%,-1,0.2%,0.8%
 ,6:00pm,EUR,low,Retail PMI,47.9,0,,52.1
 ,All Day,EUR,low,ECOFIN Meetings,,0,,
 ,6:30pm,GBP,low,Mortgage Approvals,113K,-1,122K,129K
 ,,GBP,low,Net Lending to Individuals m/m,11.6B,1,10.6B,11.2B
 ,7:18pm,EUR,low,Italian 10-y Bond Auction,4.29|1.3,0,,4.17|1.5
 ,10:30pm,CAD,low,IPPI m/m,1.4%,1,0.5%,0.0%
 ,,CAD,low,RMPI m/m,5.2%,1,0.4%,0.9%
 ,11:00pm,USD,low,S&P/CS Composite-20 HPI y/y,1.7%,0,1.6%,2.9%
 WedJan 31 ,12:00am,USD,high,CB Consumer Confidence,110.3,0,110.5,110.0
 ,6:45am,NZD,high,Trade Balance,-433M,-1,-422M,-806M
 ,8:30am,JPY,low,Final Manufacturing PMI,53.4,0,,53.1
 ,9:20am,AUD,medium,HIA New Home Sales m/m,6.0%,0,,-5.3%
 ,9:30am,AUD,medium,Private Sector Credit m/m,0.9%,-1,1.0%,1.1%
 ,10:30am,JPY,low,Average Cash Earnings y/y,-0.6%,-1,0.5%,0.2%
 ,2:00pm,JPY,low,Housing Starts y/y,10.2%,1,9.0%,4.0%
 ,4:00pm,EUR,medium,German Retail Sales m/m,2.4%,1,1.2%,-0.7%
 ,5:55pm,EUR,medium,German Unemployment Change,-70K,-1,-80K,-96K
 ,7:00pm,EUR,low,CPI Flash Estimate y/y,1.9%,-1,2.1%,1.9%
 ,,EUR,low,Consumer Confidence,-7,-1,-6,-6
 ,,EUR,low,Unemployment Rate,7.5%,1,7.6%,7.6%
 ,7:30pm,CHF,medium,KOF Economic Barometer,1.71,0,1.55,1.75
 ,,GBP,low,GfK Consumer Confidence,-7,1,-8,-8
 ,10:15pm,USD,medium,ADP Non-Farm Employment Change,152K,1,135K,147K
 ,10:30pm,CAD,high,GDP m/m,0.2%,-1,0.3%,0.0%
 ,,USD,high,Advance GDP q/q,3.5%,1,3.0%,2.0%
 ,,USD,medium,Advance GDP Price Index q/q,1.5%,-1,1.7%,1.9%
 ,,USD,medium,Employment Cost Index q/q,0.8%,-1,1.0%,1.0%
 ,11:45pm,USD,medium,Chicago PMI,48.8,-1,52.0,52.4
 ThuFeb 1 ,12:00am,USD,low,Construction Spending m/m,-0.4%,-1,-0.1%,0.1%
 ,12:30am,USD,low,Crude Oil Inventories,2.7M,0,1.4M,0.7M
 ,4:15am,USD,high,FOMC Statement,,0,,
 ,,USD,high,Federal Funds Rate,5.25%,0,5.25%,5.25%
 ,7:30am,AUD,low,AIG Manufacturing Index,51.3,0,,52.4
 ,10:00am,CNY,high,Manufacturing PMI,55.1,0,,54.8
 ,11:30am,CNY,medium,Caixin Manufacturing PMI,52.0,0,,52.4
 ,12:45pm,JPY,low,10-y Bond Auction,1.70|2.8,0,,1.73|2.5
 ,2:30pm,AUD,medium,Commodity Prices y/y,10.1%,0,,11.2%
 ,4:15pm,CHF,medium,Trade Balance,0.43B,-1,1.00B,1.23B
 ,5:15pm,EUR,low,Spanish Manufacturing PMI,56.2,0,,57.2
 ,5:30pm,CHF,medium,Manufacturing PMI,62.0,-1,64.7,65.0
 ,5:45pm,EUR,low,Italian Manufacturing PMI,53.5,-1,54.6,55.0
 ,6:00pm,EUR,medium,Final Manufacturing PMI,55.5,-1,56.3,56.5
 ,6:30pm,GBP,medium,Manufacturing PMI,52.8,1,51.9,52.0
 ,7:00pm,EUR,low,French 10-y Bond Auction,4.12|2.8,0,,3.97|2.4
 ,9:30pm,USD,low,Challenger Job Cuts y/y,-39.1%,0,,-49.3%
 ,10:30pm,USD,high,Core PCE Price Index m/m,0.1%,-1,0.2%,0.0%
 ,,USD,medium,Personal Spending m/m,0.7%,0,0.7%,0.5%
 ,,USD,low,Personal Income m/m,0.5%,0,0.5%,0.3%
 ,,USD,low,Unemployment Claims,307K,1,315K,327K
 FriFeb 2 ,12:00am,USD,high,ISM Manufacturing PMI,49.3,-1,51.6,51.4
 ,,USD,high,Pending Home Sales m/m,4.9%,1,2.2%,-0.3%
 ,,USD,low,ISM Manufacturing Prices,53.0,1,47.2,47.5
 ,12:30am,USD,low,Natural Gas Storage,-186B,0,-201B,-179B
 ,All Day,USD,low,Total Vehicle Sales,16.6M,0,16.6M,16.7M
 ,1:30am,EUR,medium,ECB President Trichet Speaks,,0,,
 ,6:45am,NZD,low,Visitor Arrivals m/m,-1.3%,0,,0.5%
 ,8:50am,JPY,low,Monetary Base y/y,-21.1%,-1,-20.0%,-20.0%
 ,9:30am,AUD,medium,Trade Balance,-1.34B,-1,-1.05B,-0.90
 ,5:00pm,EUR,low,Spanish Unemployment Change,59.6K,0,,-0.3K
 ,6:00pm,CHF,medium,SNB Chairman Roth Speaks,,0,,
 ,6:30pm,GBP,low,Construction PMI,57.9,1,57.0,57.5
 ,7:00pm,EUR,low,PPI m/m,0.0%,0,0.0%,0.0%
 ,10:30pm,USD,high,Non-Farm Employment Change,111K,-1,146K,206K
 ,,USD,high,Unemployment Rate,4.6%,-1,4.5%,4.5%
